n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,auc,logloss,accuracy,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
1000,100000,100,FALSE,1,0.001,1,100,0,ignore,0.652541,0.660511,0.6124,,,,,,,,,,43,4.4741,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,mean-encoding,0.664994,0.672794,0.61943,,,,,,,,,,109,8.58321,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,embeddings,0.86722,0.492997,0.79241,0.903755,0.324788,0.476367,0.7604,,,0.0238658,,,64,5.13352,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,embeddings-l2,0.859023,0.492759,0.78202,0.991024,0.305653,0.522366,0.73,,,0.000215993,,,122,8.63941,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,hashing,0.868051,0.486692,0.79375,,,,,,,,,,63,7.89919,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,regbeddings,0.662008,0.65297,0.61572,0.943783,0.248054,0.497466,0.752,,,0.00833683,,,32,7.70769,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,tabtransformer,0.842935,0.51682,0.75937,,,,,,,,,,22,12.9889,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,mmbeddings,0.872309,0.458359,0.79275,0.59976,0.296476,0.316132,0.7356,0.869975,,0.586807,,,62,8.82026,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,ignore,0.710758,0.625654,0.6534,,,,,,,,,,28,3.70531,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,mean-encoding,0.707161,0.628206,0.65472,,,,,,,,,,24,3.23028,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,embeddings,0.775423,0.575053,0.70686,0.933702,0.108112,0.500337,0.6048,,,0.00932839,,,27,4.70359,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,embeddings-l2,0.722786,0.616629,0.66347,0.993837,0.104367,0.532561,0.5644,,,9.85E-05,,,33,5.2776,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,hashing,0.790714,0.558118,0.71663,,,,,,,,,,27,3.99387,10471,"[100, 100]","[10, 10]",10
