,n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,auc,logloss,accuracy,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
0,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,ignore,0.794441,0.548426,0.71826,,,,,,,,,,,,309,24.6229,231,"[100, 100]","[10, 10]",10
1,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,mean-encoding,0.792291,0.551072,0.71706,,,,,,,,,,,,113,21.7231,531,"[100, 100]","[10, 10]",10
2,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,embeddings,0.800344,0.668201,0.72474,0.953961,0.0950726,0.356692,0.636549,,,0.00636636,0.00497485,0.00608468,,,27,6.11915,300531,"[100, 100]","[10, 10]",10
3,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,embeddings-l2,0.797006,0.546117,0.72153,0.999731,0.0751163,0.373801,0.5,,,2.72E-07,1.31E-07,2.82E-07,,,72,13.0196,300531,"[100, 100]","[10, 10]",10
4,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,hashing,0.779956,0.568579,0.70627,,,,,,,,,,,,26,85.6376,30951,"[100, 100]","[10, 10]",10
5,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,regbeddings,0.78326,0.561111,0.71123,0.970287,0.095107,0.362784,0.649209,,,0.00299116,0.00181035,0.00253996,,,71,30.7224,600531,"[100, 100]","[10, 10]",10
6,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,tabtransformer,0.673988,0.989554,0.62572,,,,,,,,,,,,14,88.4922,306829,"[100, 100]","[10, 10]",10
7,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,unified,0.799318,0.642389,0.72594,,,,,,,,,,,,28,84.0231,10486291,"[100, 100]","[10, 10]",10
8,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,mmbeddings,0.816422,0.594262,0.73383,0.763093,0.0274676,0.285452,0.603156,,,0.160771,0.153133,0.157754,,,68,118.031,17891,"[100, 100]","[10, 10]",10
9,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,ignore,0.815871,0.524862,0.73864,,,,,,,,,,,,121,11.1594,231,"[100, 100]","[10, 10]",10
10,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,mean-encoding,0.814892,0.52601,0.73851,,,,,,,,,,,,109,11.5412,531,"[100, 100]","[10, 10]",10
11,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,embeddings,0.794761,0.672491,0.72112,0.950995,0.0883949,0.338248,0.571386,,,0.005669,0.00640458,0.0053572,,,28,7.21089,300531,"[100, 100]","[10, 10]",10
12,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,embeddings-l2,0.81858,0.521775,0.74119,0.999763,0.0521562,0.35561,0.5,,,1.13E-07,2.63E-07,1.17E-07,,,63,21.9892,300531,"[100, 100]","[10, 10]",10
13,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,hashing,0.805003,0.540149,0.72819,,,,,,,,,,,,29,74.3471,30951,"[100, 100]","[10, 10]",10
14,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,regbeddings,0.805077,0.537891,0.73037,0.972482,0.115302,0.345894,0.598281,,,0.00136776,0.00240967,0.00180024,,,73,43.8795,600531,"[100, 100]","[10, 10]",10
15,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,tabtransformer,0.687908,0.964392,0.63655,,,,,,,,,,,,14,55.7548,306829,"[100, 100]","[10, 10]",10
16,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,unified,0.803088,0.638648,0.72536,,,,,,,,,,,,24,83.4242,10486291,"[100, 100]","[10, 10]",10
17,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,mmbeddings,0.825358,0.573386,0.74207,0.753127,0.0293419,0.267928,0.532874,,,0.153219,0.160875,0.155224,,,96,105.117,17891,"[100, 100]","[10, 10]",10
18,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,ignore,0.817278,0.522691,0.73964,,,,,,,,,,,,208,21.7939,231,"[100, 100]","[10, 10]",10
19,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,mean-encoding,0.815855,0.524605,0.73786,,,,,,,,,,,,115,12.5955,531,"[100, 100]","[10, 10]",10
20,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,embeddings,0.815342,0.639191,0.7379,0.952726,0.108035,0.337773,0.577372,,,0.00449672,0.00510468,0.0050852,,,25,7.31422,300531,"[100, 100]","[10, 10]",10
21,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,embeddings-l2,0.823002,0.516101,0.74449,0.999626,0.0864727,0.354354,0.5,,,1.97E-07,5.00E-07,3.81E-07,,,63,12.2937,300531,"[100, 100]","[10, 10]",10
22,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,hashing,0.798057,0.556572,0.72327,,,,,,,,,,,,47,118.719,30951,"[100, 100]","[10, 10]",10
23,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,regbeddings,0.805301,0.537234,0.72886,0.975965,0.0989366,0.34597,0.575257,,,0.000919654,0.00169465,0.0011667,,,65,27.8383,600531,"[100, 100]","[10, 10]",10
24,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,tabtransformer,0.688203,0.959689,0.63733,,,,,,,,,,,,14,55.3697,306829,"[100, 100]","[10, 10]",10
25,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,unified,0.803805,0.663821,0.73094,,,,,,,,,,,,27,66.9579,10486291,"[100, 100]","[10, 10]",10
26,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,mmbeddings,0.833508,0.560768,0.74877,0.739637,0.0337807,0.262311,0.550821,,,0.153519,0.1592,0.156403,,,86,106.225,17891,"[100, 100]","[10, 10]",10
27,100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,3,ignore,0.800878,0.541388,0.72455,,,,,,,,,,,,176,21.4303,231,"[100, 100]","[10, 10]",10
