n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,embeddings-l2,12.4243,2.77748,0.440968,0.990731,0.186471,0.386286,0.594761,,,0.000192068,0.000209505,0.000202014,,,123,21.2904,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,0,mmbeddings,12.078,2.73215,0.456551,0.733939,0.102574,0.286026,0.565418,12.1793,,0.17518,0.164431,0.172049,,,125,152.468,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,embeddings-l2,10.6854,2.57487,0.504136,0.992261,0.189687,0.373047,0.612669,,,0.000150681,0.000163179,0.000134319,,,134,24.4128,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,1,mmbeddings,10.2547,2.52129,0.52412,0.728694,0.0952495,0.273665,0.557965,10.6936,,0.175575,0.168112,0.165668,,,144,209.252,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,embeddings-l2,10.4028,2.52817,0.450087,0.989419,0.0824017,0.344285,0.556988,,,0.00031617,0.000314655,0.000322144,,,48,11.7704,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,2,mmbeddings,10.4223,2.5316,0.449056,0.736292,0.0521391,0.255933,0.582915,10.052,,0.164617,0.163279,0.165604,,,158,170.059,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,3,embeddings-l2,13.4576,2.88066,0.414482,0.990417,0.139798,0.386487,0.62348,,,0.00028274,0.000285389,0.000354072,,,65,12.0449,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,3,mmbeddings,12.8536,2.81009,0.440765,0.751274,0.0807133,0.293359,0.576784,13.0508,,0.17164,0.171189,0.180767,,,190,243.826,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,4,embeddings-l2,11.7525,2.6798,0.438091,0.988331,0.108453,0.375947,0.601759,,,0.000373971,0.000366759,0.000438918,,,57,13.0713,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,4,mmbeddings,11.692,2.668,0.440982,0.736749,0.0609379,0.280186,0.558878,11.7478,,0.170401,0.172055,0.177136,,,195,235.039,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,embeddings-l2,12.629,2.79118,0.456475,0.990482,0.185805,0.374596,0.596864,,,0.000177459,0.000258644,0.00032261,,,107,19.4135,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,mmbeddings,12.4841,2.76964,0.462712,0.750925,0.0943448,0.283978,0.572983,12.8147,,0.170762,0.180632,0.166962,,,169,288.747,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,embeddings-l2,9.44006,2.42058,0.489759,0.986613,0.124079,0.374657,0.685678,,,0.000418985,0.000501746,0.000398823,,,72,22.334,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,mmbeddings,9.89221,2.47564,0.465321,0.730525,0.0562606,0.277286,0.639449,9.97414,,0.168938,0.176863,0.1709,,,284,267.917,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,embeddings-l2,10.2588,2.53238,0.52184,0.99216,0.204444,0.364494,0.659825,,,0.00015813,0.000157172,0.00014542,,,121,22.6972,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,mmbeddings,10.118,2.50722,0.528403,0.731389,0.0953574,0.268727,0.610601,10.9066,,0.179306,0.175622,0.162595,,,222,237.83,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,embeddings-l2,11.8873,2.70461,0.411889,0.989628,0.104311,0.387007,0.538124,,,0.00028237,0.00036744,0.000293399,,,57,11.9634,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,mmbeddings,11.1911,2.6196,0.446333,0.735942,0.0601385,0.287294,0.53695,11.2122,,0.167153,0.174588,0.169886,,,174,190.824,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,embeddings-l2,10.7081,2.56639,0.46785,0.988347,0.118639,0.372952,0.567002,,,0.000397705,0.000304828,0.000326011,,,49,11.8138,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,mmbeddings,10.5926,2.54467,0.47359,0.720596,0.0729716,0.271892,0.557971,10.5765,,0.172534,0.166911,0.168332,,,185,203.66,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,embeddings-l2,12.0006,2.71993,0.409323,0.989569,0.109782,0.347967,0.565189,,,0.000306562,0.00037157,0.000304332,,,56,11.2307,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,mmbeddings,11.5549,2.66054,0.431259,0.746532,0.0533835,0.262614,0.552428,11.4393,,0.159844,0.169341,0.157929,,,123,178.149,17891,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,11,embeddings-l2,10.793,2.58859,0.469581,0.991034,0.142914,0.35958,0.595402,,,0.000193923,0.00019626,0.000171364,,,124,22.9301,300531,"[100, 100]","[10, 10]",10
