n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
1000,100000,100,FALSE,1,0.001,1,100,0,ignore,5.86655,1.92959,0.103569,,,,,,,,,,47,6.28369,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,mean-encoding,5.62311,1.88969,0.140767,,,,,,,,,,113,8.57439,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,embeddings,3.74647,1.50926,0.427526,0.925399,0.279121,0.519294,0.6172,,,0.0136928,,,43,4.22936,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,embeddings-l2,3.81918,1.53101,0.416415,0.964195,0.264131,0.541065,0.5948,,,0.00349519,,,42,4.22618,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,hashing,3.68125,1.49714,0.437491,,,,,,,,,,90,8.09913,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,regbeddings,5.94764,1.94456,0.091179,0.951332,0.239928,0.533846,0.6248,,,0.00543445,,,35,6.45477,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,tabtransformer,4.03392,1.57305,0.383602,,,,,,,,,,28,15.4854,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,0,mmbeddings,3.49443,1.45793,0.466038,0.561327,0.257735,0.314993,0.736,3.5503,,0.680213,,,43,6.45154,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,ignore,5.50478,1.86583,0.0773235,,,,,,,,,,181,11.2774,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,mean-encoding,5.18483,1.81055,0.130952,,,,,,,,,,68,6.07541,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,embeddings,3.4596,1.46758,0.420124,0.931536,0.274452,0.414669,0.6356,,,0.0122716,,,54,6.25278,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,embeddings-l2,3.39704,1.45248,0.43061,0.974293,0.268171,0.433702,0.5872,,,0.00191612,,,63,4.88878,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,hashing,3.32153,1.43427,0.443266,,,,,,,,,,84,13.6358,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,regbeddings,4.79378,1.73878,0.196497,0.882338,0.239972,0.392769,0.5908,,,0.0404088,,,63,7.64597,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,tabtransformer,3.80476,1.54178,0.36227,,,,,,,,,,32,13.7517,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,1,mmbeddings,3.16684,1.40117,0.469194,0.577633,0.270423,0.25713,0.74,3.18186,,0.567404,,,79,10.5422,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,2,ignore,5.21056,1.80172,0.113961,,,,,,,,,,123,7.82816,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,2,mean-encoding,5.14042,1.78262,0.125887,,,,,,,,,,73,8.50757,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,2,embeddings,3.48941,1.44596,0.406637,0.930423,0.253692,0.479234,0.6276,,,0.0141148,,,45,4.21791,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,2,embeddings-l2,3.5367,1.45554,0.398596,0.976443,0.291017,0.502937,0.5868,,,0.00163806,,,95,7.38661,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,2,hashing,3.50415,1.45314,0.40413,,,,,,,,,,41,5.44717,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,2,regbeddings,5.26118,1.80851,0.105353,0.931488,0.179339,0.479782,0.6084,,,0.0147749,,,48,7.98603,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,2,tabtransformer,3.96594,1.5405,0.325604,,,,,,,,,,21,12.4728,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,2,mmbeddings,3.5584,1.45283,0.394906,0.622384,0.314397,0.320572,0.6456,3.6272,,0.574878,,,69,7.8198,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,3,ignore,6.3304,1.99137,0.097004,,,,,,,,,,102,7.12935,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,3,mean-encoding,6.06963,1.952,0.134202,,,,,,,,,,127,6.75746,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,3,embeddings,4.06209,1.57267,0.420566,0.926317,0.30105,0.48589,0.6468,,,0.0145981,,,44,6.43411,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,3,embeddings-l2,4.00568,1.56006,0.428612,0.972703,0.344511,0.510221,0.5356,,,0.00213399,,,72,6.29406,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,3,hashing,3.90881,1.54293,0.44243,,,,,,,,,,73,7.10242,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,3,regbeddings,5.67919,1.88206,0.189897,0.887176,0.28199,0.465359,0.6208,,,0.0382263,,,72,8.01425,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,3,tabtransformer,4.25998,1.60859,0.392339,,,,,,,,,,20,12.3024,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,3,mmbeddings,3.80916,1.51811,0.456645,0.530009,0.324967,0.27801,0.6768,3.81534,,0.869521,,,108,15.1923,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,ignore,5.17271,1.79369,0.163648,,,,,,,,,,58,5.49632,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,mean-encoding,5.10447,1.78015,0.17468,,,,,,,,,,48,4.79993,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,embeddings,3.19774,1.40176,0.482971,0.905237,0.280817,0.446128,0.6424,,,0.0193919,,,103,8.9585,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,embeddings-l2,3.0627,1.37309,0.504805,0.973635,0.402831,0.479837,0.634,,,0.00149567,,,110,8.6427,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,hashing,3.01974,1.3636,0.511752,,,,,,,,,,112,11.5469,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,regbeddings,5.35124,1.82375,0.134781,0.956016,0.233428,0.471153,0.5988,,,0.00421674,,,26,6.04453,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,tabtransformer,3.59038,1.49195,0.419487,,,,,,,,,,42,14.3922,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,mmbeddings,2.99304,1.35789,0.516068,0.528076,0.424688,0.260252,0.6496,3.03224,,0.630437,,,110,10.3373,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,ignore,4.10815,1.60188,0.18415,,,,,,,,,,38,4.15366,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,mean-encoding,3.97766,1.57386,0.210063,,,,,,,,,,75,6.12343,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,embeddings,3.59299,1.48513,0.286456,0.907762,0.108729,0.468498,0.768,,,0.0180088,,,72,6.29879,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,embeddings-l2,3.72457,1.51672,0.260327,0.96825,0.145415,0.499716,0.7656,,,0.00235214,,,39,6.04242,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,hashing,3.39378,1.4459,0.326018,,,,,,,,,,53,7.74444,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,regbeddings,4.61713,1.68909,0.0830695,0.966892,0.0430921,0.499015,0.7228,,,0.00219083,,,17,4.21888,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,tabtransformer,4.12507,1.58855,0.180789,,,,,,,,,,59,16.1376,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,mmbeddings,3.06682,1.37578,0.390951,0.580513,0.22966,0.299604,0.8548,3.09619,,0.435327,,,72,8.87146,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,ignore,6.08907,1.92619,0.088677,,,,,,,,,,76,4.9034,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,mean-encoding,6.0427,1.92287,0.0956172,,,,,,,,,,79,8.50644,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,embeddings,4.69184,1.67942,0.297793,0.925872,0.209411,0.4868,0.6564,,,0.0149709,,,41,4.87104,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,embeddings-l2,4.80456,1.70275,0.280923,0.96809,0.185755,0.508997,0.6112,,,0.00320569,,,43,7.52077,1331,"[100, 100]","[10, 10]",10
