n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.001,3,10000,0,ignore,7.34811,2.03592,0.108883,,,,,,,,,,310,17.0321,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,0,mean-encoding,7.35471,2.03735,0.108083,,,,,,,,,,261,14.2367,331,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,0,embeddings,5.28592,1.69131,0.358968,0.951153,0.181259,0.376158,0.599578,,,0.00998655,,,70,7.00354,100331,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,0,embeddings-l2,5.26937,1.67746,0.360975,0.997952,0.216832,0.394666,0.532465,,,2.30E-05,,,133,10.0673,100331,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,0,hashing,7.13572,2.00614,0.13464,,,,,,,,,,79,9.76405,10471,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,0,regbeddings,6.12963,1.83305,0.25665,0.842973,0.174727,0.333375,0.641253,,,0.130474,,,124,13.0427,200331,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,0,tabtransformer,5.67578,1.76474,0.311689,,,,,,,,,,38,19.6292,106609,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,0,mmbeddings,4.5399,1.53446,0.449439,0.685485,0.187311,0.271093,0.661286,4.57494,,0.492176,,,347,46.1967,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,1,ignore,10.1402,2.50701,0.082275,,,,,,,,,,170,10.5673,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,3,10000,1,mean-encoding,10.1506,2.50804,0.0813321,,,,,,,,,,151,8.75765,331,"[100, 100]","[10, 10]",10
