experiment,batch_size,beta_vae,d,re_sig2b_prior,n_neurons_encoder,n_neurons_decoder,patience,exp_type,auc,logloss,accuracy,sigma_b0_est,sigma_b1_est,auc_pre_post,n_epoch,time,n_params
0,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.663515,0.983967,0.6232,,,,6,22.2224,1204884
0,1000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.694073,0.64385,0.64075,0.246233,0.0973082,0.608105,10,107.186,5481
1,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.730327,0.82338,0.66695,,,,7,18.153,1204884
1,1000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.693905,0.642194,0.6427,0.246065,0.0973612,0.597911,12,111.762,5481
2,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.671066,0.746179,0.6177,,,,6,16.017,1204884
2,1000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.693416,0.643756,0.6444,0.24579,0.0971747,0.607702,8,127.14,5481
3,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.687632,0.846325,0.6414,,,,5,13.4978,1204884
3,1000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.699212,0.641579,0.6497,0.245328,0.0966119,0.596704,11,110.773,5481
4,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.682241,0.849755,0.6385,,,,6,22.184,1204884
4,1000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.693267,0.644823,0.64865,0.247454,0.0971928,0.588274,9,127.333,5481
5,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.6832,0.875932,0.63505,,,,5,22.1957,1204884
5,1000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.697938,0.640109,0.6495,0.245877,0.09724,0.626695,14,131.076,5481
6,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.683171,0.825956,0.64385,,,,5,13.7986,1204884
6,1000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.695929,0.643363,0.64565,0.245715,0.0973592,0.596953,12,125.699,5481
7,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.692114,0.789044,0.6468,,,,5,14.062,1204884
7,1000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.696134,0.642989,0.64435,0.244371,0.0976134,0.609265,10,127.491,5481
8,1000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.68378,0.863656,0.63865,,,,5,14.0815,1204884
