,experiment,batch_size,beta_vae,d,re_sig2b_prior,n_neurons_encoder,n_neurons_decoder,patience,exp_type,mse,mae,r2,sigma_b0_est,sigma_b1_est,mse_pre_post,n_epoch,time,n_params
0,0,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.19184,0.800915,0.304737,,,,8,49.0499,407527
1,0,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.13315,0.791755,0.33897,0.757921,0.475038,1.14889,140,417.997,28647
2,1,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.16658,0.787918,0.318789,,,,11,89.4937,407527
3,1,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.12522,0.78959,0.342939,0.755314,0.476773,1.12511,174,517.612,28647
4,2,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.14663,0.7846,0.335256,,,,10,49.495,407527
5,2,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.12565,0.790636,0.347424,0.745838,0.415294,1.15177,132,397.987,28647
6,3,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.16935,0.789559,0.345847,,,,9,43.0081,407527
7,3,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.16019,0.798565,0.350971,0.735449,0.518987,1.19003,169,538.953,28647
8,4,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.20657,0.816693,0.296349,,,,10,89.9943,407527
9,4,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.12625,0.790529,0.343191,0.74978,0.484257,1.14957,178,534.904,28647
10,5,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.25608,0.818295,0.261073,,,,11,89.8275,407527
11,5,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.14165,0.800305,0.328389,0.74916,0.455444,1.16079,160,537.59,28647
12,6,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.16562,0.792412,0.343546,,,,12,91.2663,407527
13,6,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.17633,0.804727,0.337515,0.754166,0.424281,1.19569,136,478.119,28647
14,7,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.17433,0.803935,0.319698,,,,9,50.1077,407527
15,7,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.14424,0.795007,0.337132,0.75063,0.423602,1.16857,170,533.764,28647
16,8,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.27513,0.828044,0.266516,,,,12,68.2364,407527
17,8,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.1458,0.797975,0.340914,0.753427,0.485752,1.17494,175,598.034,28647
18,9,1000,0.1,10,1,[100],"[10, 10]",5,tabtransformer,1.26837,0.829217,0.283946,,,,9,89.2941,407527
19,9,10000,0.1,10,1,[100],"[10, 10]",5,mmtabtransformer,1.16636,0.798682,0.341534,0.758921,0.456404,1.17941,152,470.681,28647
