n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,d,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
10000,100000,1000,FALSE,1,0.001,1,1000,5,0,mmbeddings,3.91452,1.52561,0.468638,0.655575,0.283511,0.276579,0.719644,4.1492,,0.821414,,,218,31.6846,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,1,mmbeddings,3.30591,1.40796,0.497628,0.60523,0.297256,0.267425,0.655844,3.50032,,0.870042,,,229,22.7624,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,2,mmbeddings,3.50998,1.4362,0.429977,0.682173,0.216838,0.288515,0.809148,3.61384,,0.633786,,,221,20.3684,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,3,mmbeddings,2.76357,1.30517,0.435122,0.627565,0.247896,0.247887,0.674858,2.89974,,0.676419,,,275,23.6493,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,4,mmbeddings,3.90149,1.49023,0.438011,0.66782,0.183516,0.282981,0.760628,3.92964,,0.946113,,,361,28.9792,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,5,mmbeddings,3.17966,1.38891,0.384522,0.639992,0.241849,0.28405,0.689914,3.3989,,0.683332,,,166,19.5138,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,6,mmbeddings,2.83048,1.32499,0.460635,0.57351,0.233056,0.248618,0.680276,2.92035,,1.095,,,250,21.6983,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,7,mmbeddings,3.8672,1.50587,0.561712,0.623899,0.404227,0.241888,0.741792,4.01917,,0.92508,,,305,24.7985,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,8,mmbeddings,3.39146,1.38407,0.403506,0.578698,0.236799,0.249974,0.693594,3.37664,,1.07203,,,211,18.4388,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,9,mmbeddings,2.90008,1.33593,0.451334,0.608008,0.247716,0.209527,0.682168,2.94039,,0.994689,,,172,22.381,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,10,mmbeddings,3.08888,1.3551,0.345497,0.67366,0.203584,0.298,0.663748,3.15432,,0.543399,,,184,19.5695,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,11,mmbeddings,3.02384,1.35329,0.527739,0.577122,0.357874,0.233939,0.78678,3.18848,,0.879254,,,246,25.5528,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,12,mmbeddings,3.23995,1.40525,0.495134,0.647763,0.29965,0.275051,0.731398,3.3313,,0.772108,,,330,29.0505,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,13,mmbeddings,2.98895,1.35624,0.443198,0.617405,0.246833,0.287837,0.819336,3.01985,,0.736569,,,191,23.5356,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,14,mmbeddings,3.60027,1.45027,0.376981,0.692535,0.237755,0.319563,0.62066,3.70466,,0.545081,,,208,23.003,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,15,mmbeddings,2.63948,1.2688,0.416533,0.65184,0.21016,0.260814,0.587724,2.64193,,0.539732,,,202,16.5585,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,16,mmbeddings,3.38917,1.43522,0.49027,0.62679,0.234113,0.273114,0.760264,3.43015,,0.982136,,,242,20.9409,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,17,mmbeddings,2.80801,1.31082,0.550381,0.514993,0.328732,0.231288,0.853004,2.90826,,1.56636,,,209,21.1189,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,18,mmbeddings,3.1889,1.38276,0.43993,0.647541,0.264027,0.311054,0.78303,3.21392,,0.617059,,,326,26.1707,12591,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,19,mmbeddings,2.84473,1.32439,0.451448,0.606205,0.252171,0.256068,0.630796,2.98861,,0.77434,,,318,29.5418,12591,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,0,mmbeddings,3.65713,1.48916,0.455275,0.600522,0.220392,0.270111,0.715686,3.72259,,0.56696,,,248,27.115,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,1,mmbeddings,3.35842,1.4076,0.425031,0.590495,0.270925,0.247193,0.72786,3.43106,,0.393978,,,254,19.9373,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,2,mmbeddings,3.024,1.32698,0.406711,0.60307,0.245219,0.273649,0.67689,3.06019,,0.334122,,,222,18.285,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,3,mmbeddings,3.33364,1.41324,0.448661,0.620292,0.250861,0.294687,0.674608,3.56856,,0.429335,,,152,20.2429,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,4,mmbeddings,3.42436,1.43332,0.365172,0.64548,0.19505,0.262998,0.705366,3.60917,,0.386971,,,174,15.588,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,5,mmbeddings,3.4117,1.42538,0.409626,0.636643,0.258758,0.277911,0.671994,3.62899,,0.343525,,,211,23.084,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,6,mmbeddings,3.28547,1.40297,0.369386,0.627992,0.210449,0.25146,0.723902,3.407,,0.411143,,,243,19.3312,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,7,mmbeddings,3.5847,1.45776,0.472708,0.659703,0.271189,0.294209,0.741622,3.60356,,0.371366,,,201,20.8641,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,8,mmbeddings,2.6784,1.27795,0.499692,0.563897,0.332414,0.231266,0.797624,2.85892,,0.398506,,,340,28.7142,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,9,mmbeddings,3.30582,1.4047,0.497922,0.621479,0.249366,0.267351,0.715996,3.27899,,0.518474,,,216,20.0362,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,10,mmbeddings,3.25006,1.40013,0.337464,0.655096,0.212167,0.280654,0.69717,3.27428,,0.352625,,,260,21.6184,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,11,mmbeddings,3.47616,1.43839,0.4352,0.644427,0.253246,0.272745,0.646432,3.61225,,0.419766,,,184,17.6249,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,12,mmbeddings,2.78903,1.2838,0.47006,0.520328,0.27326,0.211571,0.706404,2.84425,,0.570471,,,159,20.0299,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,13,mmbeddings,3.1078,1.36504,0.55833,0.575718,0.378427,0.242795,0.814848,3.11542,,0.514016,,,197,18.3289,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,14,mmbeddings,3.92019,1.50042,0.473233,0.603109,0.310466,0.237557,0.804354,4.0325,,0.525899,,,208,20.2238,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,15,mmbeddings,3.82593,1.50099,0.292629,0.631519,0.188657,0.270545,0.715286,3.92335,,0.393964,,,232,24.2085,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,16,mmbeddings,3.10592,1.36839,0.438037,0.617609,0.212417,0.274067,0.560096,3.13097,,0.445021,,,257,20.8739,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,17,mmbeddings,3.2994,1.41721,0.401648,0.543918,0.219493,0.17577,0.60444,4.0444,,0.739971,,,303,22.6072,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,18,mmbeddings,3.42214,1.43519,0.465963,0.616878,0.294778,0.286363,0.650406,3.4977,,0.623608,,,266,22.1861,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,10,19,mmbeddings,3.57344,1.45963,0.447733,0.562494,0.254192,0.248325,0.752952,3.76565,,0.592147,,,204,23.3937,13651,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,0,mmbeddings,3.00782,1.35428,0.451997,0.598447,0.238342,0.262887,0.651336,3.12292,,0.229723,,,156,22.6159,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,1,mmbeddings,3.022,1.34337,0.359065,0.59205,0.175392,0.254596,0.613064,3.05079,,0.210581,,,135,15.1668,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,2,mmbeddings,3.15746,1.36852,0.492528,0.5376,0.32336,0.234725,0.63019,3.15091,,0.27402,,,221,17.5365,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,3,mmbeddings,3.55822,1.47076,0.516898,0.613284,0.312152,0.272821,0.62026,3.76967,,0.240275,,,215,20.2904,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,4,mmbeddings,3.31739,1.39995,0.326197,0.625075,0.208186,0.225058,0.753818,3.58701,,0.175856,,,228,30.8151,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,5,mmbeddings,2.62525,1.27422,0.472003,0.546619,0.270604,0.229857,0.715228,2.62963,,0.234836,,,226,21.4326,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,6,mmbeddings,3.42834,1.44112,0.483865,0.571237,0.287249,0.253252,0.83,3.44184,,0.309767,,,187,17.0891,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,7,mmbeddings,3.64886,1.4814,0.44555,0.607515,0.253061,0.291668,0.71036,3.77939,,0.253164,,,166,18.5644,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,8,mmbeddings,3.55651,1.43861,0.484847,0.557114,0.337828,0.239691,0.692736,3.67681,,0.260366,,,251,20.5573,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,9,mmbeddings,2.75399,1.30415,0.483389,0.579211,0.311174,0.255802,0.804792,2.7613,,0.190024,,,198,17.5932,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,10,mmbeddings,4.06116,1.54321,0.295145,0.652185,0.194012,0.296539,0.633436,4.50979,,0.193958,,,129,16.4163,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,11,mmbeddings,2.87331,1.32707,0.492135,0.562646,0.300517,0.236851,0.854248,3.07199,,0.246784,,,256,24.1883,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,12,mmbeddings,3.01237,1.34155,0.437329,0.57663,0.258935,0.25715,0.722924,3.11729,,0.199618,,,180,17.0124,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,13,mmbeddings,2.68926,1.28706,0.380245,0.594678,0.19618,0.26804,0.778756,2.72134,,0.183159,,,182,20.5484,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,14,mmbeddings,3.16878,1.374,0.307576,0.606218,0.136149,0.240968,0.653848,3.13067,,0.185736,,,189,15.7889,15771,"[100, 100]","[10, 10]",10
