n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,re_prior,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,0,mmbeddings,2.88693,1.33442,0.410019,0.789135,0.220043,0.354946,0.74516,2.89405,,0.099218,,,186,27.6955,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,1,mmbeddings,3.30905,1.40836,0.41069,0.779935,0.216305,0.364906,0.749132,3.49123,,0.113258,,,214,21.2887,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,2,mmbeddings,2.87319,1.31504,0.464492,0.765447,0.299962,0.324053,0.675594,3.07746,,0.120563,,,153,21.1567,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,3,mmbeddings,3.41554,1.41341,0.294397,0.75958,0.136349,0.321903,0.58454,3.39087,,0.143009,,,148,16.817,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,4,mmbeddings,3.74849,1.49213,0.355698,0.802129,0.205921,0.318995,0.676176,3.86024,,0.123538,,,271,23.5069,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,5,mmbeddings,3.305,1.40273,0.526891,0.783999,0.27205,0.358688,0.64775,3.38553,,0.133609,,,227,24.6838,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,6,mmbeddings,3.28433,1.41661,0.439642,0.759814,0.267615,0.33434,0.766236,3.42514,,0.144757,,,112,16.5768,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,7,mmbeddings,2.8549,1.31588,0.427284,0.803431,0.175778,0.346102,0.68894,2.89414,,0.0985277,,,256,23.0994,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,8,mmbeddings,4.11905,1.5804,0.471537,0.774627,0.297746,0.352124,0.737092,4.39939,,0.172102,,,148,18.0212,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,9,mmbeddings,3.00676,1.3492,0.429653,0.76626,0.213408,0.346923,0.665216,3.10849,,0.131706,,,137,19.3306,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,10,mmbeddings,2.90849,1.3367,0.444129,0.753724,0.270027,0.326921,0.816432,3.19455,,0.121192,,,186,17.8383,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,11,mmbeddings,3.5133,1.45626,0.459659,0.768177,0.253015,0.331715,0.727226,3.64145,,0.150871,,,174,18.4246,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,12,mmbeddings,3.79345,1.50152,0.427763,0.803616,0.23211,0.359115,0.8415,3.81056,,0.120207,,,249,22.3461,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,13,mmbeddings,3.05829,1.36152,0.430204,0.776994,0.244062,0.342258,0.678124,3.11946,,0.122234,,,199,24.2188,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,0.1,14,mmbeddings,2.76195,1.30795,0.477108,0.767158,0.269364,0.360208,0.683206,2.7844,,0.11638,,,209,17.8789,13651,"[100, 100]","[10, 10]",10
